product,brand,salary_age,category,salary_type,pet_type,기능,weight,price,product_name,crud_protein,crud_fat,crud_fiber,crud_ash,ca,p,water
4224,80,생후 3개월 이후,파우치,반려묘,2,,50g,800,더캣츠 파우치 치킨연어 스프,4.27,0.05,0.24,0.43,0.01,0.06,93.88
4225,80,생후 3개월 이후,파우치,반려묘,2,,50g,800,더캣츠 파우치 가다랑어 스프,4.88,0.7,0.09,0.67,0.05,0.1,92.28
4226,80,생후 3개월 이후,파우치,반려묘,2,,50g,800,더캣츠 파우치 치킨야채 스프,3.08,0.07,0.14,0.33,0.01,0.05,94.72
4227,80,생후 3개월 이후,파우치,반려묘,2,,50g,800,더캣츠 파우치 가다랑어 치킨스프,4.07,0.4,0.11,0.48,0.02,0.06,93.11
4228,80,생후3개월 이후,육포/져키/소시지,반려묘,2,,50g,2000,더캣츠 미니필레 참치&연어,18.71,3.95,,8.45,,,15.8
4229,80,생후3개월 이후,육포/져키/소시지,반려묘,2,,50g,2000,더캣츠 미니필레 참치 ,18.71,3.95,,8.45,,,15.8
4234,80,3개월 이상,육포/져키/소시지,반려묘,2,,70g,1700,더캣츠 미니리얼 순참치큐브,18.71,3.95,0.03,9.45,,,15.8
4235,80,3개월 이상,육포/져키/소시지,반려묘,2,,70g,1700,더캣츠 미니리얼 순닭고기살,39.77,4.85,,5.07,,,25.54
4236,80,3개월 이상,육포/져키/소시지,반려묘,2,,70g,1700,더캣츠 미니리얼 순연어살,18.71,3.95,,9.45,,,15.8
4237,80,3개월 이상,육포/져키/소시지,반려묘,2,,70g,1700,더캣츠 미니리얼 치킨연어큐브,55.59,4.05,,7.44,,,19.91
4238,80,3개월 이상,육포/져키/소시지,반려묘,2,,70g,1700,더캣츠 미니리얼 순오리살,33.43,4.33,,5.56,,,29.1
4239,80,3개월 이상,육포/져키/소시지,반려묘,2,,12개,3800,더캣츠 미니포켓 치킨,33,3,,5,,,57
4240,80,3개월 이상,육포/져키/소시지,반려묘,2,,12개,3800,더캣츠 미니포켓 오리,23,3,,6,,,60
